,N,Squadra,Giocate,PTS,Gol,Gol Subiti,Gol partita,Gol subiti partita,xG,NPxG,xG against,xG partita,xG against partita,img
0,1,Milan,38,86,69,31,1.82,0.82,67.34,61.16,34.63,1.77,0.91,https://content.fantacalcio.it/web/img/team/ico/milan.png
1,2,Inter,38,84,84,32,2.21,0.84,90.38,81.79,39.88,2.38,1.05,https://content.fantacalcio.it/web/img/team/ico/inter.png
2,3,Napoli,38,79,74,31,1.95,0.82,63.64,52.91,34.40,1.67,0.91,https://content.fantacalcio.it/web/img/team/ico/napoli.png
3,4,Juventus,38,70,57,37,1.5,0.97,60.83,56.26,40.44,1.6,1.06,https://content.fantacalcio.it/web/img/team/ico/juventus.png
4,5,Lazio,38,64,77,58,2.03,1.53,59.29,52.44,50.10,1.56,1.32,https://content.fantacalcio.it/web/img/team/ico/lazio.png
5,6,Roma,38,63,59,43,1.55,1.13,66.80,59.8,42.05,1.76,1.11,https://content.fantacalcio.it/web/img/team/ico/roma.png
6,7,Fiorentina,38,62,59,51,1.55,1.34,62.04,52.83,45.23,1.63,1.19,https://content.fantacalcio.it/web/img/team/ico/fiorentina.png
7,8,Atalanta,38,59,65,48,1.71,1.26,68.72,64.15,46.60,1.81,1.23,https://content.fantacalcio.it/web/img/team/ico/atalanta.png
8,9,Verona,38,53,65,59,1.71,1.55,56.39,50.3,52.04,1.48,1.37,https://content.fantacalcio.it/web/img/team/ico/verona.png
9,10,Torino,38,50,46,41,1.21,1.08,53.75,49.19,41.11,1.41,1.08,https://content.fantacalcio.it/web/img/team/ico/torino.png
10,11,Sassuolo,38,50,64,66,1.68,1.74,59.36,54.03,69.96,1.56,1.84,https://content.fantacalcio.it/web/img/team/ico/sassuolo.png
11,12,Udinese,38,47,61,58,1.61,1.53,57.17,54.13,54.01,1.5,1.42,https://content.fantacalcio.it/web/img/team/ico/udinese.png
12,13,Bologna,38,46,44,55,1.16,1.45,45.55,41.75,58.05,1.2,1.53,https://content.fantacalcio.it/web/img/team/ico/bologna.png
13,14,Empoli,38,41,50,70,1.32,1.84,45.52,40.19,74.82,1.2,1.97,https://content.fantacalcio.it/web/img/team/ico/empoli.png
14,15,Sampdoria,38,36,46,63,1.21,1.66,39.09,35.92,62.11,1.03,1.63,https://content.fantacalcio.it/web/img/team/ico/sampdoria.png
15,16,Spezia,38,36,41,71,1.08,1.87,41.65,37.83,69.55,1.1,1.83,https://content.fantacalcio.it/web/img/team/ico/spezia.png
16,17,Salernitana,38,31,33,78,0.87,2.05,39.49,35.68,71.42,1.04,1.88,https://content.fantacalcio.it/web/img/team/ico/salernitana.png
17,18,Cagliari,38,30,34,68,0.89,1.79,40.74,37.7,68.56,1.07,1.8,https://content.fantacalcio.it/web/img/team/ico/cagliari.png
18,19,Genoa,38,28,27,60,0.71,1.58,38.53,33.2,60.12,1.01,1.58,https://content.fantacalcio.it/web/img/team/ico/genoa.png
19,20,Venezia,38,27,34,69,0.89,1.82,36.16,32.22,77.36,0.95,2.04,https://content.fantacalcio.it/web/img/team/ico/venezia.png
